workout_id,workout_start_time,workout_name,exercise_idx,exercise_title,muscle_group,equipment,set_index,set_type,weight_kg,reps,rpe,distance_meters,duration_seconds
Workout_004,2024-01-03 23:47:27,Legs 🦵,4,Standing Leg Curls,calves,other,3,normal,5.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,5,Leg Extension (Machine),quadriceps,machine,1,normal,15.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,5,Leg Extension (Machine),quadriceps,machine,2,normal,15.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,5,Leg Extension (Machine),quadriceps,machine,3,normal,15.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,6,Lying Leg Curl (Machine),hamstrings,machine,1,normal,14.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,6,Lying Leg Curl (Machine),hamstrings,machine,2,normal,14.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,6,Lying Leg Curl (Machine),hamstrings,machine,3,normal,14.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,7,Spinning,cardio,machine,1,normal,,,,,133.0
Workout_005,2024-01-05 23:47:48,Back,1,Warm Up,full_body,none,1,normal,,,,,443.0
Workout_005,2024-01-05 23:47:48,Back,2,Lat Pulldown (Cable),lats,machine,1,normal,21.0,15.0,,,
Workout_005,2024-01-05 23:47:48,Back,2,Lat Pulldown (Cable),lats,machine,2,normal,28.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,2,Lat Pulldown (Cable),lats,machine,3,normal,28.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,3,Seated Cable Row - V Grip (Cable),upper_back,machine,1,normal,35.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,3,Seated Cable Row - V Grip (Cable),upper_back,machine,2,normal,35.0,23.0,,,
Workout_005,2024-01-05 23:47:48,Back,3,Seated Cable Row - V Grip (Cable),upper_back,machine,3,normal,35.0,25.0,,,
Workout_005,2024-01-05 23:47:48,Back,4,Reverse Grip Lat Pulldown (Cable),lats,machine,1,normal,56.0,24.0,,,
Workout_005,2024-01-05 23:47:48,Back,4,Reverse Grip Lat Pulldown (Cable),lats,machine,2,normal,56.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,4,Reverse Grip Lat Pulldown (Cable),lats,machine,3,normal,56.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,5,Lat Pulldown (Machine),lats,machine,1,normal,15.0,15.0,,,
Workout_005,2024-01-05 23:47:48,Back,5,Lat Pulldown (Machine),lats,machine,2,normal,15.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,5,Lat Pulldown (Machine),lats,machine,3,normal,15.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,6,Iso-Lateral Row (Machine),upper_back,machine,1,normal,15.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,6,Iso-Lateral Row (Machine),upper_back,machine,2,normal,15.0,20.0,,,
Workout_005,2024-01-05 23:47:48,Back,6,Iso-Lateral Row (Machine),upper_back,machine,3,normal,15.0,15.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,1,Warm Up,full_body,none,1,normal,,,,,277.0
Workout_006,2024-01-06 23:52:58,Chest 🧰,2,Push Up,chest,none,1,normal,,9.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,3,Bench Press (Barbell),chest,barbell,1,normal,20.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,3,Bench Press (Barbell),chest,barbell,2,normal,20.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,3,Bench Press (Barbell),chest,barbell,3,normal,20.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,4,Incline Bench Press (Dumbbell),chest,dumbbell,1,normal,10.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,4,Incline Bench Press (Dumbbell),chest,dumbbell,2,normal,10.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,4,Incline Bench Press (Dumbbell),chest,dumbbell,3,normal,10.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,5,Cable Fly Crossovers,chest,machine,1,normal,42.0,10.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,5,Cable Fly Crossovers,chest,machine,2,normal,28.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,5,Cable Fly Crossovers,chest,machine,3,normal,14.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,6,Incline Bench Press (Barbell),chest,barbell,1,normal,20.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,6,Incline Bench Press (Barbell),chest,barbell,2,normal,20.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,6,Incline Bench Press (Barbell),chest,barbell,3,normal,20.0,19.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,7,Chest Fly (Machine),chest,machine,1,normal,21.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,7,Chest Fly (Machine),chest,machine,2,normal,21.0,20.0,,,
Workout_006,2024-01-06 23:52:58,Chest 🧰,7,Chest Fly (Machine),chest,machine,3,normal,21.0,15.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,1,Warm Up,full_body,none,1,normal,,,,,319.0
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,2,Squat (Dumbbell),quadriceps,dumbbell,1,normal,10.0,20.0,7.0,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,2,Squat (Dumbbell),quadriceps,dumbbell,2,normal,10.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,2,Squat (Dumbbell),quadriceps,dumbbell,3,normal,10.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,3,Leg Extension (Machine),quadriceps,machine,1,normal,7.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,3,Leg Extension (Machine),quadriceps,machine,2,normal,15.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,3,Leg Extension (Machine),quadriceps,machine,3,normal,15.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,4,Lying Leg Curl (Machine),hamstrings,machine,1,normal,14.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,4,Lying Leg Curl (Machine),hamstrings,machine,2,normal,14.0,20.0,,,
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,5,Plank,abdominals,none,1,normal,,,,,20.0
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,5,Plank,abdominals,none,2,normal,,,,,20.0
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,5,Plank,abdominals,none,3,normal,,,,,34.0
Workout_007,2024-01-07 23:44:41,Morning workout ☀️,6,Leg Press (Machine),quadriceps,machine,1,normal,40.0,15.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,1,Warm Up,full_body,none,1,normal,,,,,334.0
Workout_008,2024-01-08 23:46:51,Shoulders,2,Standing Military Press (Barbell),shoulders,barbell,1,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,2,Standing Military Press (Barbell),shoulders,barbell,2,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,2,Standing Military Press (Barbell),shoulders,barbell,3,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,3,Overhead Press (Barbell),shoulders,barbell,1,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,3,Overhead Press (Barbell),shoulders,barbell,2,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,3,Overhead Press (Barbell),shoulders,barbell,3,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,1,normal,5.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,2,normal,5.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,3,normal,5.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,4,normal,5.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,5,Upright Row (Cable),shoulders,machine,1,normal,21.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,5,Upright Row (Cable),shoulders,machine,2,normal,21.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,5,Upright Row (Cable),shoulders,machine,3,normal,21.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,6,Overhead Press (Dumbbell),shoulders,dumbbell,1,normal,10.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,6,Overhead Press (Dumbbell),shoulders,dumbbell,2,normal,10.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,6,Overhead Press (Dumbbell),shoulders,dumbbell,3,normal,10.0,15.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,7,Front Raise (Dumbbell),shoulders,dumbbell,1,normal,5.0,25.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,7,Front Raise (Dumbbell),shoulders,dumbbell,2,normal,5.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,7,Front Raise (Dumbbell),shoulders,dumbbell,3,normal,5.0,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,8,Shoulder Press (Machine Plates),shoulders,machine,1,normal,2.5,20.0,,,
Workout_008,2024-01-08 23:46:51,Shoulders,8,Shoulder Press (Machine Plates),shoulders,machine,2,normal,2.5,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,1,Warm Up,full_body,none,1,normal,,,,,362.0
Workout_009,2024-01-09 23:43:39,Chest,2,Incline Bench Press (Barbell),chest,barbell,1,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,2,Incline Bench Press (Barbell),chest,barbell,2,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,2,Incline Bench Press (Barbell),chest,barbell,3,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,3,Bench Press (Barbell),chest,barbell,1,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,3,Bench Press (Barbell),chest,barbell,2,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,3,Bench Press (Barbell),chest,barbell,3,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,4,Decline Bench Press (Barbell),chest,barbell,1,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,4,Decline Bench Press (Barbell),chest,barbell,2,normal,20.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,4,Decline Bench Press (Barbell),chest,barbell,3,normal,20.0,25.0,,,
Workout_009,2024-01-09 23:43:39,Chest,5,Incline Bench Press (Dumbbell),chest,dumbbell,1,normal,10.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,5,Incline Bench Press (Dumbbell),chest,dumbbell,2,normal,10.0,25.0,,,
Workout_009,2024-01-09 23:43:39,Chest,5,Incline Bench Press (Dumbbell),chest,dumbbell,3,normal,10.0,25.0,,,
Workout_009,2024-01-09 23:43:39,Chest,6,Chest Fly (Machine),chest,machine,1,normal,21.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,6,Chest Fly (Machine),chest,machine,2,normal,21.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,6,Chest Fly (Machine),chest,machine,3,normal,21.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,7,Cable Fly Crossovers,chest,machine,1,normal,14.0,20.0,,,
Workout_009,2024-01-09 23:43:39,Chest,7,Cable Fly Crossovers,chest,machine,2,normal,14.0,20.0,,,
Workout_010,2024-01-10 23:47:41,Morning workout ☀️,1,Warm Up,full_body,none,1,normal,,,,,3392.0
Workout_011,2024-01-12 23:48:02,Chest,1,Warm Up,full_body,none,1,normal,,,,,283.0
Workout_011,2024-01-12 23:48:02,Chest,2,Bench Press (Barbell),chest,barbell,1,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,2,Bench Press (Barbell),chest,barbell,2,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,2,Bench Press (Barbell),chest,barbell,3,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,3,Incline Bench Press (Barbell),chest,barbell,1,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,3,Incline Bench Press (Barbell),chest,barbell,2,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,3,Incline Bench Press (Barbell),chest,barbell,3,normal,25.0,14.0,,,
Workout_011,2024-01-12 23:48:02,Chest,4,Decline Bench Press (Barbell),chest,barbell,1,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,4,Decline Bench Press (Barbell),chest,barbell,2,normal,25.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,4,Decline Bench Press (Barbell),chest,barbell,3,normal,25.0,15.0,,,
Workout_011,2024-01-12 23:48:02,Chest,5,Chest Fly (Machine),chest,machine,1,normal,21.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,5,Chest Fly (Machine),chest,machine,2,normal,21.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,5,Chest Fly (Machine),chest,machine,3,normal,21.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,6,Hammer Curl (Dumbbell),biceps,dumbbell,1,normal,10.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,6,Hammer Curl (Dumbbell),biceps,dumbbell,2,normal,10.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,6,Hammer Curl (Dumbbell),biceps,dumbbell,3,normal,10.0,15.0,,,
Workout_011,2024-01-12 23:48:02,Chest,7,Bench Press (Dumbbell),chest,dumbbell,1,normal,10.0,20.0,,,
Workout_011,2024-01-12 23:48:02,Chest,7,Bench Press (Dumbbell),chest,dumbbell,2,normal,10.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,1,Warm Up,full_body,none,1,normal,,,,,385.0
Workout_012,2024-01-13 23:44:28,Back,2,Lat Pulldown (Cable),lats,machine,1,normal,28.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,2,Lat Pulldown (Cable),lats,machine,2,normal,28.0,24.0,,,
Workout_012,2024-01-13 23:44:28,Back,2,Lat Pulldown (Cable),lats,machine,3,normal,28.0,14.0,,,
Workout_012,2024-01-13 23:44:28,Back,3,Seated Cable Row - V Grip (Cable),upper_back,machine,1,normal,28.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,3,Seated Cable Row - V Grip (Cable),upper_back,machine,2,normal,35.0,25.0,,,
Workout_012,2024-01-13 23:44:28,Back,3,Seated Cable Row - V Grip (Cable),upper_back,machine,3,normal,35.0,25.0,,,
Workout_012,2024-01-13 23:44:28,Back,4,Seated Lateral Raise (Dumbbell),shoulders,dumbbell,1,normal,10.0,15.0,,,
Workout_012,2024-01-13 23:44:28,Back,4,Seated Lateral Raise (Dumbbell),shoulders,dumbbell,2,normal,10.0,15.0,,,
Workout_012,2024-01-13 23:44:28,Back,4,Seated Lateral Raise (Dumbbell),shoulders,dumbbell,3,normal,10.0,15.0,,,
Workout_012,2024-01-13 23:44:28,Back,5,Lat Pulldown (Machine),lats,machine,1,normal,20.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,5,Lat Pulldown (Machine),lats,machine,2,normal,20.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,5,Lat Pulldown (Machine),lats,machine,3,normal,20.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,6,Single Arm Tricep Extension (Dumbbell),triceps,dumbbell,1,normal,10.0,15.0,,,
Workout_012,2024-01-13 23:44:28,Back,6,Single Arm Tricep Extension (Dumbbell),triceps,dumbbell,2,normal,10.0,15.0,,,
Workout_012,2024-01-13 23:44:28,Back,6,Single Arm Tricep Extension (Dumbbell),triceps,dumbbell,3,normal,10.0,15.0,,,
Workout_012,2024-01-13 23:44:28,Back,7,Triceps Extension (Dumbbell),triceps,dumbbell,1,normal,7.5,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,7,Triceps Extension (Dumbbell),triceps,dumbbell,2,normal,7.5,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,7,Triceps Extension (Dumbbell),triceps,dumbbell,3,normal,7.5,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,8,Hammer Curl (Dumbbell),biceps,dumbbell,1,normal,10.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,8,Hammer Curl (Dumbbell),biceps,dumbbell,2,normal,10.0,20.0,,,
Workout_012,2024-01-13 23:44:28,Back,8,Hammer Curl (Dumbbell),biceps,dumbbell,3,normal,10.0,15.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,1,Warm Up,full_body,none,1,normal,,,,,381.0
Workout_013,2024-01-14 23:47:05,Shoulders,2,Overhead Press (Barbell),shoulders,barbell,1,normal,20.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,2,Overhead Press (Barbell),shoulders,barbell,2,normal,20.0,10.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,2,Overhead Press (Barbell),shoulders,barbell,3,normal,20.0,10.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,3,Lateral Raise (Dumbbell),shoulders,dumbbell,1,normal,5.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,3,Lateral Raise (Dumbbell),shoulders,dumbbell,2,normal,5.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,3,Lateral Raise (Dumbbell),shoulders,dumbbell,3,normal,5.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,4,Upright Row (Barbell),shoulders,barbell,1,normal,20.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,4,Upright Row (Barbell),shoulders,barbell,2,normal,20.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,4,Upright Row (Barbell),shoulders,barbell,3,normal,20.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,5,Arnold Press (Dumbbell),shoulders,dumbbell,1,normal,10.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,5,Arnold Press (Dumbbell),shoulders,dumbbell,2,normal,10.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,5,Arnold Press (Dumbbell),shoulders,dumbbell,3,normal,10.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,6,Front Raise (Barbell),shoulders,barbell,1,normal,15.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,6,Front Raise (Barbell),shoulders,barbell,2,normal,15.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,6,Front Raise (Barbell),shoulders,barbell,3,normal,15.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,7,Front Raise (Dumbbell),shoulders,dumbbell,1,normal,10.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,7,Front Raise (Dumbbell),shoulders,dumbbell,2,normal,10.0,20.0,,,
Workout_013,2024-01-14 23:47:05,Shoulders,7,Front Raise (Dumbbell),shoulders,dumbbell,3,normal,10.0,20.0,,,
Workout_014,2024-01-16 23:44:28,Chest,1,Warm Up,full_body,none,1,normal,,,,,397.0
Workout_014,2024-01-16 23:44:28,Chest,2,Bench Press (Barbell),chest,barbell,1,normal,25.0,20.0,,,
Workout_014,2024-01-16 23:44:28,Chest,2,Bench Press (Barbell),chest,barbell,2,normal,25.0,20.0,,,
Workout_014,2024-01-16 23:44:28,Chest,2,Bench Press (Barbell),chest,barbell,3,normal,25.0,15.0,,,
Workout_014,2024-01-16 23:44:28,Chest,3,Incline Bench Press (Barbell),chest,barbell,1,normal,25.0,20.0,,,
Workout_014,2024-01-16 23:44:28,Chest,3,Incline Bench Press (Barbell),chest,barbell,2,normal,25.0,20.0,,,
Workout_014,2024-01-16 23:44:28,Chest,3,Incline Bench Press (Barbell),chest,barbell,3,normal,25.0,20.0,,,
Workout_014,2024-01-16 23:44:28,Chest,4,Lateral Leg Raises,glutes,none,1,normal,,20.0,,,
