user_age,user_experience_num,user_goal_num,user_pref_time,user_equipment_num,user_lifestyle_load_num,energy_level,readiness_level,today_available_time,today_academic_load_num,workouts_completed_7d,workouts_skipped_7d,completion_rate_7d,current_streak_days,avg_completed_duration,too_difficult_freq,workout_duration,workout_difficulty_num,workout_goal_num,workout_intensity_num,workout_equipment_num,workout_recovery_demand,time_delta_mins,goal_matched,equipment_feasible,difficulty_matched,suitability_score,successful_completion,workout_id,dataset_type
23,3,6,15,2,2,2,3,15,2,1,2,0.3333333333333333,7,20.0,0.0,15,1,3,2,1,2,0,0.0,1.0,1.0,0.7387,1,W001,DEVELOPMENT_SYNTHETIC
26,3,2,10,3,1,2,5,15,1,1,2,0.3333333333333333,1,15.0,0.25,10,1,1,1,1,1,5,0.0,1.0,1.0,0.8534,1,W005,DEVELOPMENT_SYNTHETIC
26,2,3,20,3,3,1,5,15,3,5,0,1.0,2,20.0,0.0,20,2,5,3,2,4,5,0.0,1.0,1.0,0.2788,0,W002,DEVELOPMENT_SYNTHETIC
21,3,4,20,1,2,3,2,30,2,4,3,0.5714285714285714,4,12.0,0.0,20,2,4,2,2,3,10,1.0,0.0,1.0,0.2728,0,W007,DEVELOPMENT_SYNTHETIC
22,1,1,15,1,2,2,4,20,2,5,3,0.625,8,12.0,0.0,20,2,5,3,2,4,0,0.0,0.0,0.0,0.0555,0,W002,DEVELOPMENT_SYNTHETIC
26,1,4,20,3,1,2,4,10,1,0,2,0.0,5,12.0,0.25,25,2,4,3,1,4,15,1.0,1.0,0.0,0.05,0,W004,DEVELOPMENT_SYNTHETIC
26,1,4,20,3,1,4,5,20,1,1,1,0.5,12,15.0,0.4,15,1,3,2,1,2,5,1.0,1.0,1.0,0.8188,1,W001,DEVELOPMENT_SYNTHETIC
22,3,3,15,2,2,2,1,15,2,6,0,1.0,7,15.0,0.1,15,2,5,2,2,3,0,0.0,1.0,1.0,0.72,1,W008,DEVELOPMENT_SYNTHETIC
21,2,1,10,1,1,4,3,30,1,6,0,1.0,12,20.0,0.25,10,1,1,2,1,2,20,1.0,1.0,1.0,0.3354,0,W009,DEVELOPMENT_SYNTHETIC
19,3,2,10,3,2,3,2,30,2,0,0,0.5,9,25.0,0.25,30,3,6,3,3,5,0,0.0,1.0,1.0,0.7199,1,W006,DEVELOPMENT_SYNTHETIC
21,3,2,30,3,1,3,1,45,1,0,4,0.0,12,15.0,0.25,20,2,4,2,2,3,25,0.0,1.0,1.0,0.2926,0,W007,DEVELOPMENT_SYNTHETIC
19,3,5,20,2,3,3,5,15,3,5,3,0.625,5,25.0,0.25,10,1,1,2,1,2,5,0.0,1.0,1.0,0.6493,1,W009,DEVELOPMENT_SYNTHETIC
20,1,3,30,2,3,5,5,15,3,3,4,0.42857142857142855,0,20.0,0.25,25,2,4,3,1,4,10,1.0,1.0,1.0,0.3971,0,W004,DEVELOPMENT_SYNTHETIC
25,3,2,20,3,3,4,4,20,3,1,4,0.2,7,15.0,0.0,10,1,1,1,1,1,10,0.0,1.0,1.0,0.5911,0,W005,DEVELOPMENT_SYNTHETIC
19,3,6,20,3,3,2,3,10,3,6,1,0.8571428571428571,2,12.0,0.0,25,2,4,3,1,4,15,0.0,1.0,1.0,0.05,0,W004,DEVELOPMENT_SYNTHETIC
21,3,2,30,1,2,4,4,45,2,1,1,0.5,10,12.0,0.0,20,2,4,2,2,3,25,0.0,0.0,1.0,0.05,0,W007,DEVELOPMENT_SYNTHETIC
18,1,3,30,3,3,5,2,10,3,3,1,0.75,12,25.0,0.25,15,2,5,2,2,3,5,0.0,1.0,1.0,0.552,0,W008,DEVELOPMENT_SYNTHETIC
25,3,6,45,3,2,2,4,15,2,2,1,0.6666666666666666,10,20.0,0.4,25,2,4,3,1,4,10,0.0,1.0,1.0,0.1836,0,W004,DEVELOPMENT_SYNTHETIC
21,2,1,20,1,3,3,3,15,3,4,0,1.0,2,15.0,0.1,20,2,4,2,2,3,5,0.0,0.0,1.0,0.2598,0,W007,DEVELOPMENT_SYNTHETIC
24,1,4,10,3,1,4,3,45,1,3,0,1.0,3,25.0,0.4,25,3,3,3,2,4,20,1.0,1.0,0.0,0.3869,0,W010,DEVELOPMENT_SYNTHETIC
18,1,4,30,3,2,3,3,45,2,6,3,0.6666666666666666,8,15.0,0.4,25,2,4,3,1,4,20,1.0,1.0,0.0,0.3586,0,W004,DEVELOPMENT_SYNTHETIC
23,2,1,30,2,1,4,2,45,1,1,4,0.2,8,12.0,0.4,25,3,3,3,2,4,20,0.0,1.0,1.0,0.1942,0,W010,DEVELOPMENT_SYNTHETIC
20,3,6,30,1,1,4,2,15,1,2,3,0.4,5,15.0,0.4,30,3,6,3,3,5,15,1.0,0.0,1.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
19,2,1,20,2,2,4,1,15,2,2,1,0.6666666666666666,10,12.0,0.0,15,1,3,2,1,2,0,0.0,1.0,1.0,0.6761,1,W001,DEVELOPMENT_SYNTHETIC
21,1,3,15,1,3,2,4,20,3,0,4,0.0,3,25.0,0.25,30,3,6,3,3,5,10,0.0,0.0,0.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
20,3,3,10,3,3,3,1,20,3,0,2,0.0,9,25.0,0.4,25,2,4,3,1,4,5,1.0,1.0,1.0,0.527,0,W004,DEVELOPMENT_SYNTHETIC
19,3,5,15,3,3,3,5,10,3,6,4,0.6,12,12.0,0.25,10,1,1,2,1,2,0,0.0,1.0,1.0,0.8029,1,W009,DEVELOPMENT_SYNTHETIC
23,3,2,45,2,1,1,4,15,1,0,3,0.0,5,25.0,0.1,20,2,4,2,2,3,5,0.0,1.0,1.0,0.6672,1,W007,DEVELOPMENT_SYNTHETIC
26,3,3,20,3,3,4,4,15,3,6,4,0.6,4,20.0,0.1,20,2,5,3,2,4,5,0.0,1.0,1.0,0.5618,0,W002,DEVELOPMENT_SYNTHETIC
24,2,1,45,1,2,3,1,45,2,6,2,0.75,2,25.0,0.1,30,3,6,3,3,5,15,0.0,0.0,0.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
26,2,1,20,2,3,1,5,10,3,0,1,0.0,11,25.0,0.4,10,1,1,2,1,2,0,1.0,1.0,1.0,0.8807,1,W009,DEVELOPMENT_SYNTHETIC
25,3,3,30,2,3,1,1,15,3,1,3,0.25,11,15.0,0.25,25,3,3,3,2,4,10,1.0,1.0,1.0,0.1162,0,W010,DEVELOPMENT_SYNTHETIC
24,2,1,20,3,3,5,3,15,3,5,3,0.625,4,20.0,0.25,25,2,4,3,1,4,10,0.0,1.0,1.0,0.3306,0,W004,DEVELOPMENT_SYNTHETIC
26,3,5,10,1,2,2,2,10,2,5,3,0.625,4,20.0,0.0,25,2,4,3,1,4,15,0.0,1.0,1.0,0.05,0,W004,DEVELOPMENT_SYNTHETIC
18,1,1,20,2,1,5,2,30,1,0,0,0.5,8,20.0,0.1,15,2,5,2,2,3,15,0.0,1.0,1.0,0.2466,0,W008,DEVELOPMENT_SYNTHETIC
25,1,5,30,3,2,4,3,20,2,0,2,0.0,7,12.0,0.0,20,2,4,2,2,3,0,0.0,1.0,1.0,0.708,1,W007,DEVELOPMENT_SYNTHETIC
20,1,2,10,3,3,2,5,15,3,0,1,0.0,1,25.0,0.1,10,1,1,2,1,2,5,0.0,1.0,1.0,0.6345,1,W009,DEVELOPMENT_SYNTHETIC
24,2,2,45,2,2,3,5,15,2,4,0,1.0,12,15.0,0.1,10,1,1,1,1,1,5,0.0,1.0,1.0,0.6666,1,W005,DEVELOPMENT_SYNTHETIC
26,1,4,15,1,1,1,2,10,1,3,3,0.5,11,25.0,0.25,15,1,3,2,1,2,5,1.0,1.0,1.0,0.8488,1,W001,DEVELOPMENT_SYNTHETIC
19,2,3,30,3,2,2,3,20,2,4,1,0.8,6,12.0,0.1,15,1,2,1,1,1,5,0.0,1.0,1.0,0.826,1,W003,DEVELOPMENT_SYNTHETIC
22,1,1,15,1,1,5,5,30,1,3,0,1.0,7,20.0,0.4,10,1,1,1,1,1,20,1.0,1.0,1.0,0.3407,0,W005,DEVELOPMENT_SYNTHETIC
18,3,6,10,2,2,4,3,30,2,0,0,0.5,3,12.0,0.25,25,3,3,3,2,4,5,0.0,1.0,1.0,0.5947,0,W010,DEVELOPMENT_SYNTHETIC
22,1,5,30,2,3,2,5,15,3,5,3,0.625,1,25.0,0.25,20,2,4,2,2,3,5,0.0,1.0,0.0,0.5902,0,W007,DEVELOPMENT_SYNTHETIC
23,2,1,15,3,1,4,4,30,1,5,3,0.625,12,12.0,0.4,20,2,5,3,2,4,10,0.0,1.0,1.0,0.5906,0,W002,DEVELOPMENT_SYNTHETIC
26,2,1,30,2,1,1,5,15,1,3,0,1.0,3,20.0,0.4,15,2,5,2,2,3,0,0.0,1.0,1.0,0.8178,1,W008,DEVELOPMENT_SYNTHETIC
22,1,5,15,2,3,4,4,10,3,0,4,0.0,12,15.0,0.1,10,1,1,1,1,1,0,0.0,1.0,1.0,0.7464,1,W005,DEVELOPMENT_SYNTHETIC
21,1,6,10,3,2,1,4,10,2,5,1,0.8333333333333334,7,20.0,0.25,20,2,4,2,2,3,10,0.0,1.0,0.0,0.6002,1,W007,DEVELOPMENT_SYNTHETIC
20,2,2,45,1,2,4,2,20,2,6,0,1.0,4,25.0,0.25,10,1,1,2,1,2,10,0.0,1.0,1.0,0.5681,0,W009,DEVELOPMENT_SYNTHETIC
25,1,1,20,2,3,2,4,20,3,3,2,0.6,5,25.0,0.4,30,3,6,3,3,5,10,0.0,0.0,0.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
21,3,3,30,1,3,4,1,15,3,5,3,0.625,11,25.0,0.4,15,1,2,1,1,1,0,0.0,1.0,1.0,0.7681,1,W003,DEVELOPMENT_SYNTHETIC
23,1,2,45,1,3,1,4,10,3,4,3,0.5714285714285714,0,15.0,0.4,15,1,2,1,1,1,5,1.0,1.0,1.0,0.98,1,W003,DEVELOPMENT_SYNTHETIC
24,2,5,45,2,2,1,3,20,2,6,4,0.6,6,20.0,0.4,10,1,1,2,1,2,10,0.0,1.0,1.0,0.5482,0,W009,DEVELOPMENT_SYNTHETIC
21,3,5,20,1,1,1,4,10,1,6,0,1.0,7,15.0,0.25,15,1,3,2,1,2,5,0.0,1.0,1.0,0.7282,1,W001,DEVELOPMENT_SYNTHETIC
23,2,5,20,1,2,4,2,20,2,4,3,0.5714285714285714,9,15.0,0.1,15,1,2,1,1,1,5,0.0,1.0,1.0,0.519,0,W003,DEVELOPMENT_SYNTHETIC
25,3,5,15,2,3,5,2,10,3,3,2,0.6,7,20.0,0.0,15,2,5,2,2,3,5,1.0,1.0,1.0,0.8411,1,W008,DEVELOPMENT_SYNTHETIC
25,3,1,10,3,1,3,5,30,1,5,3,0.625,11,20.0,0.4,10,1,1,1,1,1,20,1.0,1.0,1.0,0.3544,0,W005,DEVELOPMENT_SYNTHETIC
24,2,3,15,2,1,5,3,30,1,5,2,0.7142857142857143,0,25.0,0.25,15,1,3,2,1,2,15,1.0,1.0,1.0,0.335,0,W001,DEVELOPMENT_SYNTHETIC
25,3,6,45,3,1,3,2,30,1,1,1,0.5,9,20.0,0.1,20,2,5,3,2,4,10,1.0,1.0,1.0,0.7046,1,W002,DEVELOPMENT_SYNTHETIC
18,3,4,30,1,2,5,3,20,2,0,2,0.0,5,25.0,0.1,25,2,4,3,1,4,5,1.0,1.0,1.0,0.7006,1,W004,DEVELOPMENT_SYNTHETIC
22,3,3,45,2,3,2,3,15,3,6,2,0.75,11,20.0,0.0,15,2,5,2,2,3,0,0.0,1.0,1.0,0.739,1,W008,DEVELOPMENT_SYNTHETIC
26,1,5,30,1,3,3,1,15,3,0,2,0.0,8,12.0,0.4,30,3,6,3,3,5,15,1.0,0.0,0.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
24,3,4,45,3,2,3,1,20,2,3,0,1.0,9,20.0,0.1,20,2,5,3,2,4,0,0.0,1.0,1.0,0.8239,1,W002,DEVELOPMENT_SYNTHETIC
19,2,4,30,3,2,2,1,10,2,2,3,0.4,1,12.0,0.1,10,1,1,2,1,2,0,0.0,1.0,1.0,0.7241,1,W009,DEVELOPMENT_SYNTHETIC
24,2,3,45,2,2,5,2,45,2,5,0,1.0,7,25.0,0.25,15,1,3,2,1,2,30,1.0,1.0,1.0,0.3096,0,W001,DEVELOPMENT_SYNTHETIC
21,2,4,30,1,2,3,1,30,2,4,2,0.6666666666666666,0,25.0,0.25,25,2,4,3,1,4,5,1.0,1.0,1.0,0.7749,1,W004,DEVELOPMENT_SYNTHETIC
18,2,5,15,1,3,1,3,10,3,1,4,0.2,3,12.0,0.1,25,3,3,3,2,4,15,0.0,0.0,0.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
18,1,3,45,2,1,3,2,20,1,4,2,0.6666666666666666,12,15.0,0.0,15,1,3,2,1,2,5,1.0,1.0,1.0,0.8164,1,W001,DEVELOPMENT_SYNTHETIC
23,1,3,45,2,1,1,2,15,1,0,1,0.0,11,25.0,0.0,20,2,5,3,2,4,5,0.0,1.0,0.0,0.3235,0,W002,DEVELOPMENT_SYNTHETIC
19,2,2,45,2,3,4,5,10,3,4,0,1.0,11,20.0,0.4,15,1,3,2,1,2,5,0.0,1.0,1.0,0.6757,1,W001,DEVELOPMENT_SYNTHETIC
25,2,5,10,2,2,4,1,15,2,2,4,0.3333333333333333,2,12.0,0.1,10,1,1,1,1,1,5,0.0,1.0,1.0,0.6549,1,W005,DEVELOPMENT_SYNTHETIC
24,3,6,20,3,3,5,5,15,3,3,4,0.42857142857142855,9,25.0,0.0,20,2,5,3,2,4,5,1.0,1.0,1.0,0.8484,1,W002,DEVELOPMENT_SYNTHETIC
24,3,4,15,3,3,4,2,15,3,2,3,0.4,6,25.0,0.0,30,3,6,3,3,5,15,0.0,1.0,1.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
20,2,2,20,3,2,4,1,15,2,6,0,1.0,1,25.0,0.0,30,3,6,3,3,5,15,0.0,1.0,1.0,0.1836,0,W006,DEVELOPMENT_SYNTHETIC
26,3,3,45,1,3,3,1,15,3,2,3,0.4,11,12.0,0.25,25,3,3,3,2,4,10,1.0,0.0,1.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
21,2,1,45,1,3,2,4,10,3,6,0,1.0,5,20.0,0.0,10,1,1,1,1,1,0,1.0,1.0,1.0,0.98,1,W005,DEVELOPMENT_SYNTHETIC
26,1,6,45,2,3,1,5,20,3,6,2,0.75,0,15.0,0.25,10,1,1,1,1,1,10,0.0,1.0,1.0,0.7648,1,W005,DEVELOPMENT_SYNTHETIC
24,2,1,15,1,1,1,2,20,1,5,0,1.0,1,15.0,0.4,20,2,4,2,2,3,0,0.0,0.0,1.0,0.3631,0,W007,DEVELOPMENT_SYNTHETIC
23,2,2,20,1,2,5,5,15,2,0,1,0.0,2,12.0,0.0,10,1,1,1,1,1,5,0.0,1.0,1.0,0.6503,1,W005,DEVELOPMENT_SYNTHETIC
25,3,2,45,2,2,4,3,20,2,6,4,0.6,1,20.0,0.4,20,2,5,3,2,4,0,0.0,1.0,1.0,0.7383,1,W002,DEVELOPMENT_SYNTHETIC
26,3,1,30,3,3,3,1,10,3,3,4,0.42857142857142855,0,12.0,0.1,10,1,1,1,1,1,0,1.0,1.0,1.0,0.8292,1,W005,DEVELOPMENT_SYNTHETIC
19,1,3,20,2,2,1,4,20,2,3,1,0.75,2,25.0,0.1,10,1,1,2,1,2,10,0.0,1.0,1.0,0.529,0,W009,DEVELOPMENT_SYNTHETIC
18,3,6,30,2,1,4,1,45,1,0,2,0.0,9,25.0,0.4,20,2,4,2,2,3,25,0.0,1.0,1.0,0.1829,0,W007,DEVELOPMENT_SYNTHETIC
20,1,1,20,2,1,5,4,30,1,0,3,0.0,1,15.0,0.4,25,3,3,3,2,4,5,0.0,1.0,0.0,0.6099,1,W010,DEVELOPMENT_SYNTHETIC
23,3,2,20,1,2,2,3,10,2,0,4,0.0,10,12.0,0.1,30,3,6,3,3,5,20,0.0,0.0,1.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
19,3,1,15,3,1,2,3,10,1,1,4,0.2,2,12.0,0.1,15,2,5,2,2,3,5,0.0,1.0,1.0,0.6702,1,W008,DEVELOPMENT_SYNTHETIC
23,3,2,45,3,2,3,2,45,2,0,3,0.0,7,20.0,0.25,25,3,3,3,2,4,20,0.0,1.0,1.0,0.2943,0,W010,DEVELOPMENT_SYNTHETIC
25,2,5,20,3,1,4,1,15,1,2,2,0.5,1,12.0,0.4,15,2,5,2,2,3,0,1.0,1.0,1.0,0.9087,1,W008,DEVELOPMENT_SYNTHETIC
21,3,6,30,3,1,3,5,45,1,4,1,0.8,0,25.0,0.0,30,3,6,3,3,5,15,1.0,1.0,1.0,0.3629,0,W006,DEVELOPMENT_SYNTHETIC
18,1,4,15,3,3,2,4,15,3,4,4,0.5,9,15.0,0.25,30,3,6,3,3,5,15,0.0,1.0,0.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
18,2,1,45,2,2,3,1,30,2,0,4,0.0,10,25.0,0.25,10,1,1,1,1,1,20,1.0,1.0,1.0,0.2541,0,W005,DEVELOPMENT_SYNTHETIC
19,3,4,20,3,1,5,2,30,1,2,3,0.4,2,12.0,0.25,10,1,1,2,1,2,20,0.0,1.0,1.0,0.1987,0,W009,DEVELOPMENT_SYNTHETIC
19,3,2,45,2,1,4,5,30,1,0,2,0.0,4,15.0,0.1,30,3,6,3,3,5,0,0.0,0.0,1.0,0.353,0,W006,DEVELOPMENT_SYNTHETIC
19,1,2,15,1,1,3,1,15,1,5,2,0.7142857142857143,12,15.0,0.4,15,1,2,1,1,1,0,1.0,1.0,1.0,0.98,1,W003,DEVELOPMENT_SYNTHETIC
25,1,3,15,3,3,1,4,15,3,5,1,0.8333333333333334,7,20.0,0.4,25,2,4,3,1,4,10,1.0,1.0,0.0,0.1404,0,W004,DEVELOPMENT_SYNTHETIC
23,1,6,15,2,2,5,4,45,2,6,2,0.75,12,25.0,0.4,15,1,2,1,1,1,30,0.0,1.0,1.0,0.2151,0,W003,DEVELOPMENT_SYNTHETIC
25,3,3,10,1,2,3,5,15,2,5,4,0.5555555555555556,1,20.0,0.0,15,1,2,1,1,1,0,0.0,1.0,1.0,0.7483,1,W003,DEVELOPMENT_SYNTHETIC
19,2,1,30,3,1,2,4,15,1,0,3,0.0,0,25.0,0.25,25,2,4,3,1,4,10,0.0,1.0,1.0,0.1916,0,W004,DEVELOPMENT_SYNTHETIC
23,1,2,10,2,1,1,3,10,1,1,0,1.0,4,25.0,0.1,15,2,5,2,2,3,5,0.0,1.0,0.0,0.7071,1,W008,DEVELOPMENT_SYNTHETIC
22,3,2,10,1,1,2,2,20,1,5,4,0.5555555555555556,8,25.0,0.0,10,1,1,1,1,1,10,0.0,1.0,1.0,0.7876,1,W005,DEVELOPMENT_SYNTHETIC
24,2,3,15,1,1,5,4,15,1,0,3,0.0,9,12.0,0.1,15,1,2,1,1,1,0,0.0,1.0,1.0,0.7896,1,W003,DEVELOPMENT_SYNTHETIC
21,2,1,20,1,3,5,4,10,3,5,0,1.0,8,20.0,0.0,10,1,1,2,1,2,0,1.0,1.0,1.0,0.8545,1,W009,DEVELOPMENT_SYNTHETIC
24,3,6,10,3,3,4,1,20,3,3,2,0.6,4,12.0,0.25,20,2,5,3,2,4,0,1.0,1.0,1.0,0.9701,1,W002,DEVELOPMENT_SYNTHETIC
23,1,1,10,3,3,2,1,15,3,4,2,0.6666666666666666,10,15.0,0.4,15,2,5,2,2,3,0,0.0,1.0,0.0,0.6799,1,W008,DEVELOPMENT_SYNTHETIC
18,1,4,30,1,1,3,2,15,1,6,1,0.8571428571428571,0,20.0,0.25,10,1,1,2,1,2,5,0.0,1.0,1.0,0.6793,1,W009,DEVELOPMENT_SYNTHETIC
21,3,2,10,2,2,3,3,15,2,6,2,0.75,4,12.0,0.25,20,2,4,2,2,3,5,0.0,1.0,1.0,0.7595,1,W007,DEVELOPMENT_SYNTHETIC
20,3,2,20,2,2,4,4,30,2,6,4,0.6,4,12.0,0.4,20,2,5,3,2,4,10,0.0,1.0,1.0,0.5005,0,W002,DEVELOPMENT_SYNTHETIC
23,3,2,20,1,3,1,1,15,3,5,2,0.7142857142857143,4,25.0,0.4,15,1,2,1,1,1,0,1.0,1.0,1.0,0.98,1,W003,DEVELOPMENT_SYNTHETIC
23,2,4,10,2,2,5,4,30,2,5,0,1.0,1,25.0,0.25,10,1,1,2,1,2,20,0.0,1.0,1.0,0.205,0,W009,DEVELOPMENT_SYNTHETIC
25,3,4,15,1,1,1,2,10,1,1,2,0.3333333333333333,5,25.0,0.0,25,3,3,3,2,4,15,1.0,0.0,1.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
25,3,3,20,2,2,1,5,10,2,4,2,0.6666666666666666,6,20.0,0.25,25,2,4,3,1,4,15,1.0,1.0,1.0,0.05,0,W004,DEVELOPMENT_SYNTHETIC
26,1,5,30,3,1,4,5,15,1,2,2,0.5,11,25.0,0.1,25,3,3,3,2,4,10,0.0,1.0,0.0,0.5534,0,W010,DEVELOPMENT_SYNTHETIC
20,3,1,10,2,1,1,4,10,1,5,3,0.625,1,20.0,0.25,20,2,5,3,2,4,10,0.0,1.0,1.0,0.1969,0,W002,DEVELOPMENT_SYNTHETIC
20,3,6,15,2,2,3,5,20,2,0,1,0.0,12,15.0,0.1,15,2,5,2,2,3,5,1.0,1.0,1.0,0.8237,1,W008,DEVELOPMENT_SYNTHETIC
25,2,5,20,3,3,5,2,20,3,0,0,0.5,4,25.0,0.4,10,1,1,2,1,2,10,0.0,1.0,1.0,0.504,0,W009,DEVELOPMENT_SYNTHETIC
23,2,2,15,3,1,1,4,15,1,5,4,0.5555555555555556,5,15.0,0.1,15,1,2,1,1,1,0,1.0,1.0,1.0,0.98,1,W003,DEVELOPMENT_SYNTHETIC
20,3,2,45,1,1,3,2,20,1,2,1,0.6666666666666666,5,20.0,0.0,10,1,1,1,1,1,10,0.0,1.0,1.0,0.5108,0,W005,DEVELOPMENT_SYNTHETIC
22,3,3,15,3,2,5,5,15,2,4,1,0.8,9,15.0,0.1,25,3,3,3,2,4,10,1.0,1.0,1.0,0.6839,1,W010,DEVELOPMENT_SYNTHETIC
18,3,4,10,2,3,1,1,20,3,6,4,0.6,4,15.0,0.4,25,3,3,3,2,4,5,1.0,1.0,1.0,0.2907,0,W010,DEVELOPMENT_SYNTHETIC
22,1,4,45,2,3,3,4,10,3,6,3,0.6666666666666666,4,25.0,0.0,15,1,3,2,1,2,5,1.0,1.0,1.0,0.7385,1,W001,DEVELOPMENT_SYNTHETIC
21,2,3,30,2,2,3,5,20,2,2,2,0.5,11,20.0,0.4,15,1,2,1,1,1,5,0.0,1.0,1.0,0.6614,1,W003,DEVELOPMENT_SYNTHETIC
21,3,1,20,3,1,4,1,30,1,3,1,0.75,2,12.0,0.0,10,1,1,1,1,1,20,1.0,1.0,1.0,0.4154,0,W005,DEVELOPMENT_SYNTHETIC
23,3,2,15,2,1,5,3,20,1,6,1,0.8571428571428571,7,25.0,0.4,10,1,1,1,1,1,10,0.0,1.0,1.0,0.4696,0,W005,DEVELOPMENT_SYNTHETIC
25,1,2,45,1,2,2,2,20,2,2,0,1.0,0,20.0,0.4,25,3,3,3,2,4,5,0.0,0.0,0.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
